Name,Description,Start Date,End Date,Multiple Dates or Times,Event Category,Age Range,Owner,Fulfillment Method,Fulfillment Type,Fulfillment Date,Enforce Quantity Limit,Maximum Tickets,Split Groups,Volunteer Event,Volunteers Assigned,Ticket Delivery Method,Ticket Instructions,Ticket Instruction Details,Display On Web,Display Delivery Method,Allow Date Selection,Allow Time Selection,Display Start Date,Display End Date,More Information Title,More Information Url,Web URL,Venue,Address Line 1,Address Line 2,Address Line 3,City,State or Province,Postal Code,County,Market,Metro Area,Country,Contact Name,Contact Email,Contact Phone,TFK Area,TFK Market,TFK Region,Total Requested,Total Distributed,Total Donated,Total Remaining
Arizona Diamondbacks vs. New York Mets,--- MLB: xxx tickets available for the game. Swing into the fun with Golf Night and enjoy a hole-in-one experience!,2025-05-05 18:40:00,2025-05-05 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-05,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. New York Mets,--- MLB: xxx tickets available for the game. Celebrate Nurse Appreciation Night with a grand slam of gratitude at the ballpark!,2025-05-06 18:40:00,2025-05-06 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-06,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. New York Mets,--- MLB: xxx tickets available for the game. Get ready for a home run experience with all-star action on the field!,2025-05-07 12:40:00,2025-05-07 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-07,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Los Angeles Dodgers,--- MLB: xxx tickets available for the game. Celebrate Japanese Heritage with a night of culture and fun that’s sure to be a “sushi-licious” experience!,2025-05-08 18:40:00,2025-05-08 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-08,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Los Angeles Dodgers,--- MLB: xxx tickets available for the game. Celebrate culture and enjoy a night of baseball with special activities for all ages during Mexican Heritage Weekend!,2025-05-09 18:40:00,2025-05-09 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-09,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Los Angeles Dodgers,--- MLB: xxx tickets available for the game. Get ready to hit it out of the park with an unforgettable night of baseball action!,2025-05-10 17:10:00,2025-05-10 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-09,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Los Angeles Dodgers,--- MLB: xxx tickets available for the game—enjoy a special Mother's Day surprise with a stylish crossbody bag as you cheer on the team!,2025-05-11 13:10:00,2025-05-11 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-09,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Colorado Rockies,--- MLB: xxx tickets available for the game. Enjoy a night of baseball followed by a spectacular fireworks show that'll have you seeing stars!,2025-05-16 18:40:00,2025-05-16 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-16,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Colorado Rockies,--- MLB: xxx tickets available for the game. Score a home run with a cool replica jersey while cheering on the team!,2025-05-17 17:10:00,2025-05-17 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-16,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Colorado Rockies,--- MLB: xxx tickets available for the game. Celebrate rivalry and honor the troops with exciting matchups and camaraderie!,2025-05-18 13:10:00,2025-05-18 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-16,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Pittsburgh Pirates,--- MLB: xxx tickets available for the game. Celebrate Memorial Day with a home run of a deal on tickets!,2025-05-26 17:10:00,2025-05-26 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-26,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Pittsburgh Pirates,--- MLB: xxx tickets available for the game. Celebrate the courage of first responders while enjoying some exciting baseball!,2025-05-27 18:40:00,2025-05-27 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-27,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Pittsburgh Pirates,--- MLB: xxx tickets available for the game. Catch all the action on the field and enjoy a swingin' good time!,2025-05-28 12:40:00,2025-05-28 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-28,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Washington Nationals,--- MLB: xxx tickets available for the game. Enjoy a night filled with excitement and stick around for a dazzling postgame fireworks show that will light up the sky!,2025-05-30 18:40:00,2025-05-30 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-30,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Washington Nationals,--- MLB: xxx tickets available for the game. Don’t miss the chance to score a Geraldo Perdomo Bobblehead to take home—it's a real hit!,2025-05-31 19:10:00,2025-05-31 22:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-30,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Washington Nationals,--- MLB: xxx tickets available for the game. Celebrate Native American Recognition Day with the tickets and enjoy a home run of cultural appreciation!,2025-06-01 13:10:00,2025-06-01 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-05-30,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Seattle Mariners,--- MLB: xxx tickets available for the game. Don't miss a spectacular showdown on the diamond where every pitch counts!,2025-06-09 18:40:00,2025-06-09 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-09,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Seattle Mariners,--- MLB: xxx tickets available for the game. Celebrate Filipino Heritage with a night of culture and baseball that’s sure to be a home run!,2025-06-10 18:40:00,2025-06-10 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-10,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Seattle Mariners,--- MLB: xxx tickets available for the game. Catch the action as the teams swing for the fences!,2025-06-11 12:40:00,2025-06-11 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-11,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Diego Padres,--- MLB: xxx tickets available for the game. Join the D-backs for Black Excellence Night—it's a home run of an event you won't want to miss!,2025-06-13 18:40:00,2025-06-13 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-13,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Diego Padres,--- MLB: xxx tickets available for the game. Hit a home run with the new Ketel Marte Silver Slugger Cap while cheering on your team!,2025-06-14 16:15:00,2025-06-14 19:15:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-13,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Diego Padres,--- MLB: xxx tickets available for the game. Celebrate Dad with a free Father's Day Polo Shirt while enjoying some great baseball action!,2025-06-15 13:10:00,2025-06-15 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-13,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Miami Marlins,--- MLB: xxx tickets available for the game. Celebrate Pride Night and show your true colors while enjoying America's favorite pastime!,2025-06-27 18:40:00,2025-06-27 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-27,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Miami Marlins,--- MLB: xxx tickets available for the game. Get ready for a day of great baseball where the only thing hotter than the game is the stadium seating!,2025-06-28 13:10:00,2025-06-28 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-27,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Miami Marlins,--- MLB: xxx tickets available for the game. Grab the Hello Kitty Ticket Pack for a purr-fectly fun day at the ballpark!,2025-06-29 13:10:00,2025-06-29 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-27,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Experience the excitement of the diamond as the teams battle it out for victory!,2025-06-30 18:40:00,2025-06-30 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-06-30,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Catch the action as teams battle it out on the field for a home run of a good time!,2025-07-01 18:40:00,2025-07-01 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-01,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Experience the excitement of live baseball as the teams compete for victory on the diamond!,2025-07-02 18:40:00,2025-07-02 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-02,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Enjoy a night of exciting plays and stick around for a spectacular display of postgame fireworks that will light up the sky!,2025-07-03 18:40:00,2025-07-03 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-03,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Kansas City Royals,--- MLB: xxx tickets available for the game. Enjoy a dazzling display of postgame fireworks that are sure to light up the night!,2025-07-04 18:40:00,2025-07-04 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-04,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Kansas City Royals,--- MLB: xxx tickets available for the game. Grab a Patriotic Tee and get ready to hit it out of the park!,2025-07-05 13:10:00,2025-07-05 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-04,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Kansas City Royals,--- MLB: xxx tickets available for the game. Catch the excitement as teams go head-to-head and enjoy a home run of a good time!,2025-07-06 13:10:00,2025-07-06 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-04,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. St. Louis Cardinals,--- MLB: xxx tickets available for the game. Catch all the action and enjoy a home run of excitement!,2025-07-18 18:40:00,2025-07-18 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-18,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. St. Louis Cardinals,--- MLB: xxx tickets available for the game. Grab a ticket and get ready to “head” home with a Ketel Marte Bobble!,2025-07-19 16:15:00,2025-07-19 19:15:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-18,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. St. Louis Cardinals,--- MLB: xxx tickets available for the game. Experience the thrill of the diamond as your favorite team swings for the fences!,2025-07-20 13:10:00,2025-07-20 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-18,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Houston Astros,--- MLB: xxx tickets available for the game. Join the fun at this special event where the night is sure to be a home run!,2025-07-21 18:40:00,2025-07-21 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-21,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Houston Astros,--- MLB: xxx tickets available for the game. Celebrate U of A Night with a slam dunk of a time at the ballpark!,2025-07-22 18:40:00,2025-07-22 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-22,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Houston Astros,--- MLB: xxx tickets available for the game. Get ready for a grand slam of a time at the ballpark!,2025-07-23 12:40:00,2025-07-23 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-07-23,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Diego Padres,--- MLB: xxx tickets available for the game. Catch the action on the diamond and cheer for your team as they swing for the fences!,2025-08-04 18:40:00,2025-08-04 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-04,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Diego Padres,--- MLB: xxx tickets available for the game. Catch the action and cheer for your team as they aim for a home run!,2025-08-05 18:40:00,2025-08-05 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-05,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Diego Padres,"--- MLB: xxx tickets available for the game. Join the fun and unleash your creativity with Paint at the Park, where every brushstroke hits a home run!",2025-08-06 18:40:00,2025-08-06 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-06,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Colorado Rockies,"--- MLB: xxx tickets available for the game, followed by a postgame concert that hits all the right notes!",2025-08-08 18:40:00,2025-08-08 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-08,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Colorado Rockies,--- MLB: xxx tickets available for the game. Score a bobblehead of Corbin Carroll and make it a night to remember!,2025-08-09 17:10:00,2025-08-09 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-08,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Colorado Rockies,--- MLB: xxx tickets available for the game. Celebrate Jewish Community Day with a grand slam of fun and special festivities!,2025-08-10 13:10:00,2025-08-10 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-08,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Cleveland Guardians,--- MLB: xxx tickets available for the game. Experience the thrill of the ballpark as teams battle it out for victory!,2025-08-18 18:40:00,2025-08-18 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-18,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Cleveland Guardians,--- MLB: xxx tickets available for the game. Experience the thrill of the game as the teams battle it out for victory!,2025-08-19 18:40:00,2025-08-19 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-19,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Cleveland Guardians,--- MLB: xxx tickets available for the game. Get ready to hit it out of the park with a delightful day of baseball action!,2025-08-20 12:40:00,2025-08-20 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-20,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Cincinnati Reds,--- MLB: xxx tickets available for the game. Celebrate Hispanic Heritage Weekend with vibrant culture and great baseball—it's a home run of a good time!,2025-08-22 18:40:00,2025-08-22 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-22,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Cincinnati Reds,--- MLB: xxx tickets available for the game. Celebrate Hispanic Heritage Weekend with a festive atmosphere that's sure to hit it out of the park!,2025-08-23 17:10:00,2025-08-23 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-22,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Cincinnati Reds,--- MLB: xxx tickets available for the game. Celebrate Hispanic Heritage Weekend with a vibrant atmosphere and plenty of spirit—it's a home run of a time!,2025-08-24 13:10:00,2025-08-24 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-08-22,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Texas Rangers,--- MLB: xxx tickets available for the game. Get ready to catch some thrills and enjoy a home run of a time at the ballpark!,2025-09-01 17:10:00,2025-09-01 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-01,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Texas Rangers,--- MLB: xxx tickets available for the game. Celebrate ASU Night with a home run of a deal and enjoy a thrilling evening at the ballpark!,2025-09-02 18:40:00,2025-09-02 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-02,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Texas Rangers,--- MLB: xxx tickets available for the game. Don’t miss the chance to catch a home run of excitement at the ballpark!,2025-09-03 12:40:00,2025-09-03 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-03,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Boston Red Sox,--- MLB: xxx tickets available for the game; stick around after the action for a concert that’s sure to hit all the right notes!,2025-09-05 18:40:00,2025-09-05 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-05,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Boston Red Sox,"--- MLB: xxx tickets available for the game. Celebrate Greek Heritage with a night of baseball that’s sure to be a ""fantastic tzatziki"" of fun!",2025-09-06 17:10:00,2025-09-06 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-05,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Boston Red Sox,--- MLB: xxx tickets available for the game. Grab a seat and catch the excitement as the players swing for the fences!,2025-09-07 13:10:00,2025-09-07 16:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-05,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Get ready to catch some fun at the ballpark!,2025-09-15 18:40:00,2025-09-15 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-15,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Join the fun at this special Run Night event and hit a home run with excitement!,2025-09-16 18:40:00,2025-09-16 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-16,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. San Francisco Giants,--- MLB: xxx tickets available for the game. Catch the action and root for your team while enjoying every thrilling pitch!,2025-09-17 12:40:00,2025-09-17 15:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-17,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Philadelphia Phillies,--- MLB: xxx tickets available for the game. Enjoy an evening of excitement followed by a dazzling display of postgame fireworks that'll light up the night!,2025-09-19 18:40:00,2025-09-19 21:40:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-19,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks vs. Philadelphia Phillies,--- MLB: xxx tickets available for the game. Grab your chance to catch the action live and let the good times roll!,2025-09-20 17:10:00,2025-09-20 20:10:00,No,Sports,All,"Coates, Anita",Manual,,,No,,,,,,,,No,No,No,No,2025-04-27,2025-09-19,,,,Chase Field,,,,,,,,,,,,,,,,,,,,
